,price,time
0,32990.5,2021-07-13 15:13:14.594
35,32991.75,2021-07-13 15:13:36.238
72,32995.35,2021-07-13 15:13:55.057
112,33008.7,2021-07-13 15:14:14.093
155,32981.2,2021-07-13 15:14:35.915
198,32976.5,2021-07-13 15:14:55.065
219,32941.75,2021-07-13 15:15:13.259
261,32957.0,2021-07-13 15:15:35.610
303,32953.7,2021-07-13 15:15:57.213
346,32946.25,2021-07-13 15:16:15.256
389,32929.5,2021-07-13 15:16:34.677
410,32926.1,2021-07-13 15:16:52.292
453,32907.75,2021-07-13 15:17:14.368
496,32935.5,2021-07-13 15:17:38.233
539,32903.25,2021-07-13 15:18:00.265
582,32902.5,2021-07-13 15:18:13.729
604,32929.75,2021-07-13 15:18:33.684
646,32931.25,2021-07-13 15:18:55.222
689,32917.55,2021-07-13 15:19:13.053
732,32922.85,2021-07-13 15:19:39.462
776,32923.1,2021-07-13 15:20:01.410
797,32931.35,2021-07-13 15:20:12.239
839,32933.25,2021-07-13 15:20:32.604
882,32933.75,2021-07-13 15:20:52.957
922,32928.15,2021-07-13 15:21:16.681
964,32922.65,2021-07-13 15:21:40.312
1006,32919.15,2021-07-13 15:21:54.255
1027,32903.85,2021-07-13 15:22:13.596
1068,32918.5,2021-07-13 15:22:34.981
1111,32924.5,2021-07-13 15:22:54.425
1154,32950.0,2021-07-13 15:23:16.718
1197,32949.0,2021-07-13 15:23:36.253
1218,32935.5,2021-07-13 15:23:52.371
1261,32929.15,2021-07-13 15:24:14.237
1295,32922.5,2021-07-13 15:24:36.647
1338,32925.55,2021-07-13 15:24:55.122
1381,32926.5,2021-07-13 15:25:17.295
1403,32856.75,2021-07-13 15:27:01.682
1404,32863.35,2021-07-13 15:27:59.403
1424,32844.5,2021-07-13 15:28:13.508
1461,32869.35,2021-07-13 15:29:15.039
1465,32876.0,2021-07-13 15:29:36.206
1508,32885.5,2021-07-13 15:29:58.520
1550,32808.8,2021-07-13 15:30:17.809
1552,32778.0,2021-07-13 15:30:40.187
1559,32799.25,2021-07-13 15:30:55.220
1601,32816.05,2021-07-13 15:31:13.249
1636,32829.25,2021-07-13 15:31:33.630
1656,32806.8,2021-07-13 15:31:52.866
1696,32803.0,2021-07-13 15:32:14.213
1739,32756.75,2021-07-13 15:32:34.914
1781,32760.75,2021-07-13 15:32:54.629
1823,32734.5,2021-07-13 15:33:16.715
1865,32747.75,2021-07-13 15:33:36.235
1886,32743.35,2021-07-13 15:33:53.437
1906,32740.35,2021-07-13 15:34:33.694
1944,32714.45,2021-07-13 15:34:55.239
1986,32735.05,2021-07-13 15:35:16.703
2008,32723.1,2021-07-13 15:35:33.665
2050,32679.25,2021-07-13 15:35:55.284
2092,32581.5,2021-07-13 15:36:17.211
2135,32590.85,2021-07-13 15:36:39.637
2178,32559.75,2021-07-13 15:37:01.413
2198,32500.5,2021-07-13 15:37:12.308
2240,32474.85,2021-07-13 15:37:34.155
2282,32486.7,2021-07-13 15:37:53.757
2318,32498.5,2021-07-13 15:38:15.513
2358,32521.0,2021-07-13 15:38:37.708
2400,32536.2,2021-07-13 15:38:59.496
2443,32535.9,2021-07-13 15:39:15.058
2464,32552.6,2021-07-13 15:39:32.380
2507,32547.95,2021-07-13 15:39:53.223
2549,32537.25,2021-07-13 15:40:13.599
2592,32488.6,2021-07-13 15:40:33.961
2634,32494.0,2021-07-13 15:40:55.289
2676,32491.05,2021-07-13 15:41:15.617
2698,32415.65,2021-07-13 15:41:33.630
2741,32440.0,2021-07-13 15:41:55.283
2777,32456.25,2021-07-13 15:42:16.116
2820,32475.2,2021-07-13 15:42:33.434
2863,32494.65,2021-07-13 15:42:56.832
2884,32502.15,2021-07-13 15:43:12.495
2925,32510.25,2021-07-13 15:43:34.687
2970,32517.7,2021-07-13 15:43:57.880
3010,32502.5,2021-07-13 15:44:17.408
3052,32486.75,2021-07-13 15:44:42.547
3072,32482.05,2021-07-13 15:44:53.194
3114,32458.25,2021-07-13 15:45:14.686
3155,32453.7,2021-07-13 15:45:37.292
3193,32478.1,2021-07-13 15:45:55.582
3234,32485.1,2021-07-13 15:46:13.521
3255,32490.0,2021-07-13 15:46:32.377
3296,32496.25,2021-07-13 15:46:54.234
3338,32509.45,2021-07-13 15:47:15.464
3379,32524.1,2021-07-13 15:47:32.568
3420,32537.35,2021-07-13 15:47:52.917
3462,32559.25,2021-07-13 15:48:17.443
3482,32556.25,2021-07-13 15:48:33.369
3524,32535.2,2021-07-13 15:48:55.362
3560,32504.5,2021-07-13 15:49:17.734
3600,32505.3,2021-07-13 15:49:34.912
3640,32512.75,2021-07-13 15:50:01.425
3681,32498.65,2021-07-13 15:50:23.594
3701,32484.0,2021-07-13 15:50:34.307
3742,32492.5,2021-07-13 15:50:55.353
3783,32498.75,2021-07-13 15:51:16.694
3823,32465.25,2021-07-13 15:51:40.256
3864,32457.5,2021-07-13 15:51:55.377
3884,32434.3,2021-07-13 15:52:13.210
3926,32463.0,2021-07-13 15:52:33.793
3961,32438.25,2021-07-13 15:52:55.478
4001,32442.5,2021-07-13 15:53:14.900
4042,32465.2,2021-07-13 15:53:41.609
4062,32467.45,2021-07-13 15:53:52.318
4103,32476.5,2021-07-13 15:54:14.685
4143,32474.95,2021-07-13 15:54:36.516
4184,32476.75,2021-07-13 15:54:58.572
4223,32497.1,2021-07-13 15:55:17.079
4263,32449.75,2021-07-13 15:55:40.375
4281,32463.7,2021-07-13 15:55:53.501
4321,32454.0,2021-07-13 15:56:15.273
4353,32441.85,2021-07-13 15:56:32.590
4394,32444.1,2021-07-13 15:56:52.951
4436,32439.0,2021-07-13 15:57:16.685
4456,32438.5,2021-07-13 15:57:32.277
4497,32398.7,2021-07-13 15:57:54.223
4538,32418.35,2021-07-13 15:58:14.593
4578,32363.25,2021-07-13 15:58:35.017
4620,32349.35,2021-07-13 15:58:55.534
4660,32351.0,2021-07-13 15:59:15.907
4681,32320.6,2021-07-13 15:59:33.710
4722,32422.85,2021-07-13 16:02:38.414
4759,32389.1,2021-07-13 16:03:02.415
4798,32430.15,2021-07-13 16:03:21.712
4819,32433.6,2021-07-13 16:03:39.436
4860,32394.75,2021-07-13 16:04:01.769
4899,32399.85,2021-07-13 16:04:22.474
4940,32407.55,2021-07-13 16:04:40.841
4981,32430.85,2021-07-13 16:05:01.201
4998,32434.3,2021-07-13 16:05:18.623
5038,32437.25,2021-07-13 16:05:40.692
5078,32452.6,2021-07-13 16:06:01.604
5118,32454.45,2021-07-13 16:06:21.654
5153,32460.5,2021-07-13 16:06:43.228
5193,32463.0,2021-07-13 16:07:01.589
5214,32478.35,2021-07-13 16:07:19.586
5254,32464.7,2021-07-13 16:07:39.902
5286,32448.3,2021-07-13 16:08:01.503
5327,32433.8,2021-07-13 16:08:25.467
5368,32460.1,2021-07-13 16:08:47.654
5388,32450.6,2021-07-13 16:08:58.329
5428,32474.6,2021-07-13 16:09:20.637
5469,32464.25,2021-07-13 16:09:42.286
5511,32468.0,2021-07-13 16:10:01.555
5552,32451.65,2021-07-13 16:10:21.691
5594,32445.3,2021-07-13 16:10:47.946
5615,32457.25,2021-07-13 16:10:58.253
5657,32486.65,2021-07-13 16:11:18.621
5699,32480.6,2021-07-13 16:11:38.982
5736,32500.25,2021-07-13 16:11:59.331
5771,32521.25,2021-07-13 16:12:19.026
5792,32502.6,2021-07-13 16:12:39.369
5833,32506.75,2021-07-13 16:13:00.409
